2652034;SANTA CATARINA;PORTO FAE NOVO;-26.8192;-52.7353;;
2651007;SANTA CATARINA;PORTO UNIÃO;-26.2167;-51.0667;;
2749006;SANTA CATARINA;POUSO REDONDO;-27.2572;-49.9408;;
2652045;SANTA CATARINA;PRAINHA DO OURO VERDE;-26.7553;-52.3272;;
2651036;SANTA CATARINA;QUILOMETRO 30;-26.7758;-51.2628;;
2653030;SANTA CATARINA;RAIGÃO ALTO;-26.935;-53.7064;;
2651052;SANTA CATARINA;SALTO VELOSO;-26.9067;-51.4097;;
2650008;SANTA CATARINA;SANTA CRUZ DO TIMBÓ;-26.3839;-50.8783;;
2650030;SANTA CATARINA;SANTA CRUZ DO TIMBÓ;-26.3839;-50.8783;;
2651022;SANTA CATARINA;SANTO AGOSTINHO;-26.6086;-51.8817;;
2849014;SANTA CATARINA;SÃO JOAQUIM;-28.2744;-49.9306;;
2653005;SANTA CATARINA;SÃO JOSÉ DO CEDRO;-26.465;-53.4536;;
2750020;SANTA CATARINA;SÃO JOSÉ DO CERRITO;-27.6617;-50.5783;;
2652031;SANTA CATARINA;SÃO LOURENÇO DO OESTE;-26.4003;-52.8956;;
2653007;SANTA CATARINA;SAUDADES;-26.9289;-53.0075;;
2849021;SANTA CATARINA;URUBICI;-27.9931;-49.5839;;
2751016;SANTA CATARINA;VIDEIRA;-27.15;-51.15;;
2749031;SANTA CATARINA;VILA CANOAS;-27.8042;-49.78;;
2853001;RIO GRANDE DO SUL;AJURICABA;-28.2333;-53.7667;;
2955001;RIO GRANDE DO SUL;ALEGRETE;-29.7833;-55.7667;;
2955013;RIO GRANDE DO SUL;ALEGRETE;-29.7844;-55.7739;;
3055011;RIO GRANDE DO SUL;ALTO QUARAÍ;-30.7503;-55.9514;;
2754001;RIO GRANDE DO SUL;ALTO URUGUAI;-27.3019;-54.1394;;
2853028;RIO GRANDE DO SUL;ANDERSON CLAYTON;-28.6578;-53.6058;;
3154001;RIO GRANDE DO SUL;BAGÉ;-31.3047;-54.1197;;
2753024;RIO GRANDE DO SUL;BARRA DO GUARITA;-27.2033;-53.7297;;
3057002;RIO GRANDE DO SUL;BARRA DO QUARAÍ;-30.2133;-57.5533;;
2751015;RIO GRANDE DO SUL;BARRACÃO;-27.6786;-51.4547;;
2853002;RIO GRANDE DO SUL;BELISÁRIO;-28.4833;-53.45;;
2850001;RIO GRANDE DO SUL;BOM JESUS;-28.6686;-50.4419;;
2954033;RIO GRANDE DO SUL;BOM RETIRO;-29.9897;-54.4886;;
2850019;RIO GRANDE DO SUL;BOSSOROCA;-28.7028;-54.9244;;
3055009;RIO GRANDE DO SUL;BR-293;-30.7917;-55.1792;;
2957008;RIO GRANDE DO SUL;CABANHA ALCEU NEVES;-29.8533;-57.1072;;
2954001;RIO GRANDE DO SUL;CACEQUI;-29.8786;-54.8253;;
2955002;RIO GRANDE DO SUL;CACHOEIRA SANTA CECÍLIA;-29.1961;-55.4753;;
2754013;RIO GRANDE DO SUL;CAMPINA DAS MISSÕES;-27.9875;-54.8336;;
2852052;RIO GRANDE DO SUL;CAMPO DO MEIO;-28.3264;-52.0536;;
2753025;RIO GRANDE DO SUL;CAMPO NOVO;-27.6875;-53.8019;;
2851050;RIO GRANDE DO SUL;CAPÃO DO CEDRO;-28.0878;-51.5444;;
2850002;RIO GRANDE DO SUL;CAPELA SÃO JOSÉ DOS AUSENTES;-28.7333;-50.0667;;
2851005;RIO GRANDE DO SUL;CASCA I;-28.55;-51.9667;;
3056007;RIO GRANDE DO SUL;CATY;-30.5256;-56.1722;;
2850016;RIO GRANDE DO SUL;CAZUZA FERREIRA;-28.9375;-50.6542;;
3054021;RIO GRANDE DO SUL;CERRO BATOVI;-30.5633;-54.4492;;
3054015;RIO GRANDE DO SUL;CERRO DO OURO;-30.6;-54.0833;;
2854002;RIO GRANDE DO SUL;CERRO LARGO;-28.1333;-54.7333;;
2853026;RIO GRANDE DO SUL;CHAPADA;-28.0586;-53.0661;;
2752014;RIO GRANDE DO SUL;CHARRUA;-27.95;-52;;
2751017;RIO GRANDE DO SUL;CLEMENTE ARGOLO;-28.0058;-51.4544;;
2854012;RIO GRANDE DO SUL;COIMBRA;-28.7878;-54.4525;;
2852007;RIO GRANDE DO SUL;COLÔNIA XADREZ;-28.1892;-52.7458;;
2853003;RIO GRANDE DO SUL;CONCEIÇÃO;-28.4561;-53.9717;;
2853023;RIO GRANDE DO SUL;CONDOR;-28.2256;-53.4703;;
2853005;RIO GRANDE DO SUL;CRUZ ALTA;-28.6244;-53.6117;;
2856007;RIO GRANDE DO SUL;CUNHA;-28.8975;-56.085;;
2851007;RIO GRANDE DO SUL;ENCRUZILHADA II;-28.2333;-51.55;;
2752006;RIO GRANDE DO SUL;EREBANGO;-27.8542;-52.3047;;
2954004;RIO GRANDE DO SUL;ERNESTO ALVES;-29.3661;-54.7356;;
2851043;RIO GRANDE DO SUL;ESMERALDA;-28.0592;-51.1881;;
2754010;RIO GRANDE DO SUL;ESQUINA ARAUJO;-27.9681;-54.1164;;
2954031;RIO GRANDE DO SUL;ESQUINA DOS LIMA (STA. BARBARA);-29.0778;-54.5094;;
3055003;RIO GRANDE DO SUL;FAZENDA ENCERRA;-30.6956;-55.9744;;
3056004;RIO GRANDE DO SUL;FAZENDA JUNCO;-30.0189;-56.8214;;
2851010;RIO GRANDE DO SUL;FAZENDA ROSEIRA;-28.6667;-51.1333;;
2855005;RIO GRANDE DO SUL;FAZENDA SANTA CECÍLIA DO BUTUI;-28.9897;-55.6742;;
2956009;RIO GRANDE DO SUL;FAZENDA TRÊS CAPÕES;-29.6358;-56.0947;;
2954030;RIO GRANDE DO SUL;FLORIDA;-29.2517;-54.5983;;
2753002;RIO GRANDE DO SUL;FREDERICO WESTPHALEN;-27.35;-53.4;;
2954005;RIO GRANDE DO SUL;FURNAS DO SEGREDO;-29.3589;-54.5019;;
2855001;RIO GRANDE DO SUL;GARRUCHOS;-28.1878;-55.6369;;
2752021;RIO GRANDE DO SUL;GAURAMA;-27.5872;-52.0933;;
2854003;RIO GRANDE DO SUL;GIRUA;-28.0542;-54.3614;;
3054016;RIO GRANDE DO SUL;GRANJA UMBU;-30.5144;-54.7703;;
3056006;RIO GRANDE DO SUL;HARMONIA;-30.0686;-56.1703;;
2754003;RIO GRANDE DO SUL;HORIZONTINA;-27.6333;-54.3;;
3054019;RIO GRANDE DO SUL;IBARE;-30.7744;-54.2247;;
2850006;RIO GRANDE DO SUL;INVERNADA VELHA;-28.4494;-50.2964;;
2753003;RIO GRANDE DO SUL;IRAÍ;-27.1889;-53.2533;;
2753019;RIO GRANDE DO SUL;IRAÍ;-27.1889;-53.2533;;
2855008;RIO GRANDE DO SUL;ITACUMBI;-28.7739;-55.2572;;
2956005;RIO GRANDE DO SUL;ITAQUI;-29.1275;-56.5625;;
2752017;RIO GRANDE DO SUL;ITATIBA DO SUL;-27.3889;-52.4544;;
2955016;RIO GRANDE DO SUL;JACAQUA;-29.6853;-55.1981;;
2954007;RIO GRANDE DO SUL;JAGUARI;-29.5069;-54.6775;;
2956008;RIO GRANDE DO SUL;JOÃO ARREGUI;-29.4711;-56.6678;;
2854018;RIO GRANDE DO SUL;JÓIA;-28.6492;-54.1133;;
2953011;RIO GRANDE DO SUL;JÚLIO DE CASTILHOS;-29.2167;-53.6667;;
2851014;RIO GRANDE DO SUL;LAGOA VERMELHA;-28.2219;-51.5125;;
3053007;RIO GRANDE DO SUL;LAVRAS DO SUL;-30.8;-53.9;;
2753014;RIO GRANDE DO SUL;LIBERATO SALZANO;-27.5992;-53.0714;;
2753004;RIO GRANDE DO SUL;LINHA CESCON;-27.8117;-53.0278;;
2955008;RIO GRANDE DO SUL;MANOEL VIANA;-29.5939;-55.4858;;
2751005;RIO GRANDE DO SUL;MARCELINO RAMOS;-27.45;-51.9167;;
2751018;RIO GRANDE DO SUL;MARCELINO RAMOS;-27.4647;-51.9031;;
2753016;RIO GRANDE DO SUL;MIRAGUAI;-27.5008;-53.6925;;
2850020;RIO GRANDE DO SUL;MONTE ALEGRE DOS CAMPOS;-28.6839;-50.7808;;
2851051;RIO GRANDE DO SUL;MUITOS CAPÕES;-28.3239;-51.2111;;
2851052;RIO GRANDE DO SUL;NOSSA SENHORA DE FÁTIMA;-28.4619;-51.5378;;
2853035;RIO GRANDE DO SUL;NOVA RAMADA;-28.0667;-53.6833;;
3056010;RIO GRANDE DO SUL;OLHO D'ÁGUA;-30.0039;-56.4797;;
2751006;RIO GRANDE DO SUL;PAIM FILHO;-27.7125;-51.7378;;
2753005;RIO GRANDE DO SUL;PALMEIRA DAS MISSÕES;-27.8833;-53.4333;;
2753015;RIO GRANDE DO SUL;PALMEIRA DAS MISSÕES;-27.9133;-53.3108;;
2853034;RIO GRANDE DO SUL;PANAMBI;-28.3444;-53.5417;;
2851019;RIO GRANDE DO SUL;PARAÍ;-28.6;-51.7833;;
2955014;RIO GRANDE DO SUL;PASSO DA CACHOEIRA;-29.3078;-55.7089;;
3055008;RIO GRANDE DO SUL;PASSO DA GUARDA;-30.2939;-55.9756;;
2851020;RIO GRANDE DO SUL;PASSO DAS PEDRAS;-28.25;-51.85;;
2855004;RIO GRANDE DO SUL;PASSO DO NOVO;-28.6781;-55.5811;;
3053004;RIO GRANDE DO SUL;PASSO DO ROCHA;-30.2325;-53.9933;;
2855002;RIO GRANDE DO SUL;PASSO DO SARMENTO;-28.2089;-55.3233;;
2853010;RIO GRANDE DO SUL;PASSO FAXINAL;-28.2894;-53.7794;;
2852020;RIO GRANDE DO SUL;PASSO FUNDO;-28.2258;-52.4033;;
2854005;RIO GRANDE DO SUL;PASSO MAJOR ZEFERINO;-28.7336;-54.6478;;
2956006;RIO GRANDE DO SUL;PASSO MARIANO PINTO;-29.3089;-56.0553;;
2856006;RIO GRANDE DO SUL;PASSO SÃO BORJA;-28.6664;-55.9797;;
2850009;RIO GRANDE DO SUL;PASSO TAINHAS;-28.8675;-50.4561;;
2854006;RIO GRANDE DO SUL;PASSO VIOLA;-28.2111;-54.6031;;
2751025;RIO GRANDE DO SUL;PINHAL DA SERRA;-27.8908;-51.1836;;
2753026;RIO GRANDE DO SUL;PLANALTO;-27.3083;-53.0439;;
2956007;RIO GRANDE DO SUL;PLANO ALTO;-29.7653;-56.5214;;
2852022;RIO GRANDE DO SUL;PONTÃO;-28.0667;-52.6667;;
2955006;RIO GRANDE DO SUL;PONTE DO MIRACATU;-29.4592;-55.2911;;
2954032;RIO GRANDE DO SUL;PONTE TOROPI II;-29.6533;-54.4314;;
2755001;RIO GRANDE DO SUL;PORTO LUCENA;-27.8544;-55.0236;;
2754015;RIO GRANDE DO SUL;PORTO MAUÁ;-27.5836;-54.6694;;
2852024;RIO GRANDE DO SUL;PULADOR;-28.2833;-52.5667;;
3056003;RIO GRANDE DO SUL;QUARAÍ;-30.3833;-56.4833;;
2752011;RIO GRANDE DO SUL;QUATRO IRMÃOS;-27.8167;-52.4333;;
2954019;RIO GRANDE DO SUL;QUEVEDOS;-29.3514;-54.0669;;
2752001;RIO GRANDE DO SUL;RIO INHUPACÁ;-27.95;-52.5167;;
2752012;RIO GRANDE DO SUL;RONDA ALTA;-27.7833;-52.8;;
