2750001;SANTA CATARINA;CAMPO BELO DO SUL;-27.8989;-50.7536;;;
2653001;SANTA CATARINA;CAMPO ERE - EMPASC;-26.4439;-53.0819;;;
2751002;SANTA CATARINA;CAMPOS NOVOS;-27.3833;-51.2156;;;
2751012;SANTA CATARINA;CAPINZAL;-27.3422;-51.6083;;;
2751003;SANTA CATARINA;CAPINZAL (RVPSC);-27.35;-51.6167;;;
2752016;SANTA CATARINA;CHAPECÓ;-27.0903;-52.6353;;;
2752005;SANTA CATARINA;CONCORDIA;-27.3144;-51.9933;;;
2649055;SANTA CATARINA;CORREDEIRA;-26.4194;-49.5731;;;
2649013;SANTA CATARINA;CORUPÁ;-26.4239;-49.2925;;;
2850004;SANTA CATARINA;COXILHA RICA;-28.1522;-50.4408;;;
2849023;SANTA CATARINA;DESPRAIADO;-28.3692;-49.8078;;;
2653002;SANTA CATARINA;DIONÍSIO CERQUEIRA;-26.2692;-53.6275;;;
2749012;SANTA CATARINA;DIVISA DE ANITÁPOLIS;-27.9964;-49.1147;;;
2649017;SANTA CATARINA;DOUTOR PEDRINHO;-26.7172;-49.4831;;;
2648034;SANTA CATARINA;ESTRADA DOS MORROS;-26.2489;-48.9775;;;
2748004;SANTA CATARINA;ETA CASAN - MONTANTE;-27.6928;-48.7097;;;
2749015;SANTA CATARINA;FAZENDA BOA ESPERANÇA;-27.3972;-48.98;;;
2748006;SANTA CATARINA;FLORIANÓPOLIS;-27.6006;-48.62;;;
2748013;SANTA CATARINA;FLORIANÓPOLIS (HERCÍLIO LUZ);-27.6666666666667;-48.55;;;
2849006;SANTA CATARINA;FORQUILHINHA;-28.7506;-49.4731;;;
2650024;SANTA CATARINA;FOZ DO CACHOEIRA;-26.5875;-50.7283333333333;;;
2650028;SANTA CATARINA;FOZ DO CACHOEIRA;-26.5875;-50.7283;;;
2849024;SANTA CATARINA;FOZ DO MANUEL ALVES;-28.8536;-49.5897;;;
2650029;SANTA CATARINA;FOZ DO TIMBÓ;-26.2833;-50.8833;;;
2650033;SANTA CATARINA;FOZ DO TIMBÓ;-26.2831;-50.8831;;;
2750016;SANTA CATARINA;FRAIBURGO;-27.05;-50.9333;;;
2748003;SANTA CATARINA;GARCIA DE ANGELINA;-27.4892;-48.9881;;;
2649009;SANTA CATARINA;GARCIA DE BLUMENAU;-26.9683;-49.0742;;;
2648027;SANTA CATARINA;GARUVA;-26.0356;-48.85;;;
2648038;SANTA CATARINA;GASPAR (MONTANTE ETA);-26.9256;-48.9636;;;
2748019;SANTA CATARINA;GOVERNADOR CELSO RAMOS;-27.3186;-48.5631;;;
2749001;SANTA CATARINA;IBIRAMA;-27.0539;-49.5167;;;
2849022;SANTA CATARINA;IÇARA;-28.7217;-49.3033;;;
2648001;SANTA CATARINA;ILHOTA - JUSANTE;-26.9217;-48.8392;;;
2848007;SANTA CATARINA;IMBITUBA;-28.2811;-48.7022;;;
2649005;SANTA CATARINA;INDAIAL;-26.9136;-49.2675;;;
2649038;SANTA CATARINA;INDAIAL;-26.9136;-49.2675;;;
2753013;SANTA CATARINA;IPORÃ;-27.0014;-53.5256;;;
2650022;SANTA CATARINA;IRACEMA;-26.4586;-49.9864;;;
2751022;SANTA CATARINA;IRAKITAN;-27.1458;-51.0389;;;
2751011;SANTA CATARINA;IRANI;-27.0511;-51.9122;;;
2650002;SANTA CATARINA;IRINEÓPOLIS;-26.25;-50.8;;;
2649056;SANTA CATARINA;ITAIÓPOLIS;-26.3328;-49.9272;;;
2648024;SANTA CATARINA;ITAJAÍ;-26.9503;-48.7614;;;
2648020;SANTA CATARINA;ITAPOCU;-26.5617;-48.7192;;;
2649010;SANTA CATARINA;ITOUPAVA CENTRAL;-26.7931;-49.0833;;;
2749002;SANTA CATARINA;ITUPORANGA;-27.3986;-49.6058;;;
2749043;SANTA CATARINA;ITUPORANGA;-27.4186;-49.6461;;;
2751021;SANTA CATARINA;JABORÁ;-27.1728;-51.7439;;;
2849020;SANTA CATARINA;JAGUARUNA;-28.6067;-49.0331;;;
2649037;SANTA CATARINA;JARAGUÁ DO SUL;-26.4642;-49.0867;;;
2652021;SANTA CATARINA;JARDINÓPOLIS;-26.7361;-52.9003;;;
2751004;SANTA CATARINA;JOAÇABA;-27.1717;-51.5003;;;
2648014;SANTA CATARINA;JOINVILLE (RVPSC);-26.3217;-48.8464;;;
2750005;SANTA CATARINA;LAGES;-27.8083;-50.3283;;;
2848001;SANTA CATARINA;LAGUNA ;-28.4833333333333;-48.8;;;
2650019;SANTA CATARINA;LEBON REGIS;-26.9017;-50.6592;;;
2749034;SANTA CATARINA;LEOBERTO LEAL;-27.5075;-49.2875;;;
2749007;SANTA CATARINA;LOMBA ALTA;-27.7306;-49.3828;;;
2648002;SANTA CATARINA;LUIZ ALVES;-26.7242;-48.9317;;;
2950056;SANTA CATARINA;MÃE DOS HOMENS;-29.2481;-50.0692;;;
2748001;SANTA CATARINA;MAJOR GERCINO;-27.4142;-48.9528;;;
2652002;SANTA CATARINA;MARATA;-26.5836;-52.6403;;;
2650003;SANTA CATARINA;MARCILIO DIAS (RVPSC);-26.1;-50.3833;;;
2651011;SANTA CATARINA;MATOS COSTA (RVPSC);-26.4833;-51.1667;;;
