n;m;delta;an--a1;bm--b1;gamma;resnorm 
2;4;1;0.86121432;-1.84919732;;0.06922232;0.05753732;-0.24628632;0.12353532;0.23238232;57007696.86426232;
2;4;2;0.88299832;-1.86724132;;0.03921632;0.00768432;0.04121832;-0.07842132;0.21460932;56441728.88383832;
2;4;3;0.85920632;-1.83978232;;0.00374632;-0.00101332;0.01421032;-0.01365132;0.37527732;53062448.00597732;
2;4;4;0.83032632;-1.80871232;;0.00528532;-0.01040932;0.01801532;-0.01040132;0.42122332;51733349.29443932;
2;4;5;0.82782432;-1.81023832;;0.00398932;-0.03870932;0.09956732;-0.05826332;0.25965932;58041282.89608932;
2;4;6;0.88058832;-1.87256332;;-0.00002032;0.00001432;0.00001432;-0.00000932;0.95809932;61944161.24035232;
2;4;7;0.89449132;-1.89213432;;0.00133732;-0.00881432;0.00964232;-0.00326332;0.40382832;60778864.10152632;
2;4;8;0.87055632;-1.86582932;;0.00001132;-0.00001132;-0.00000832;0.00000632;1.02375632;61362311.51562832;
2;4;9;0.87368732;-1.86545632;;-17.99229332;6.65695432;22.47189232;-11.13717532;-0.00452832;61816911.98864032;
2;4;10;0.87375732;-1.86388032;;-0.75400232;-1.94173832;4.62239732;-1.64945532;-0.45478032;62097183.34144432;
3;4;1;-0.48957832;1.78920332;-2.29204232;-0.87163132;1.70661432;0.59278332;-1.40753232;0.02616832;45800311.05052432;
3;4;2;-0.48854932;1.77008632;-2.27039432;0.01832532;-0.09571832;0.13584832;-0.05296632;0.25095432;43400695.39208332;
3;4;3;-0.46501732;1.70179132;-2.22331832;0.00642432;-0.02051032;0.01676432;0.00100432;0.31832832;41649155.77197832;
3;4;4;-0.43494632;1.63652332;-2.18668032;0.01578532;-0.03946332;0.03652932;-0.00902032;0.32842932;41545953.10521232;
3;4;5;-0.47209632;1.71847732;-2.23594232;0.04402832;-0.22578832;0.25543032;-0.06363932;0.14239632;45283583.09176432;
3;4;6;-0.50706332;1.81775032;-2.30675032;-0.00000032;0.00000032;-0.00000032;0.00000032;1.51583732;45909006.27355332;
3;4;7;-0.49497932;1.79874132;-2.29961032;-152.68933332;38.01610632;-116.07730532;221.90803732;-1.27254332;46811450.11080232;
3;4;8;-0.51992832;1.84060132;-2.31404432;-11.70603732;14.76926832;4.61967632;-7.67137932;-0.00568732;46277477.89756332;
3;4;9;-0.50375632;1.81316932;-2.30333432;-1.10738432;0.09284532;1.65257632;-0.59504132;-0.16507932;46230231.93277032;
3;4;10;-0.49707132;1.80136832;-2.29891432;2.18030132;-6.70818432;4.79209632;0.68147232;-0.62510032;46590072.31614332;
