731968;433285.713409
731969;427209.863388
731970;435441.206257
731971;414849.197867
731972;380261.696169
731973;380261.696169
731974;427559.494731
731975;467545.452480
731976;522760.742309
731977;477514.088785
731978;431117.123627
731979;419285.933909
731980;449114.827677
731981;395174.795407
731982;442409.656060
731983;215553.582494
731984;215552.034111
731985;299259.248783
731986;304084.384388
731987;514315.544738
731988;475320.690825
731989;373237.243908
731990;378563.498899
731991;413167.811525
731992;407434.247064
731993;407952.827045
731994;390431.157635
731995;375108.582304
731996;375698.950993
731997;368409.132264
731998;666510.150162
731999;674189.831032
732000;678758.753484
732001;684581.075226
732002;688644.035137
732003;670409.657182
732004;656085.188187
732005;689927.272970
732006;668955.955117
732007;630620.063577
732008;987823.962373
732009;1004075.421963
732010;1071650.503601
732011;1033917.974760
732012;1297367.646476
732013;1153874.159133
732014;545623.226191
732015;514960.595312
732016;547930.556505
732017;552702.769483
732018;530650.330738
732019;390338.781901
732020;335663.881054
732021;229105.617628
732022;215796.148335
732023;372387.687888
732024;365692.262788
732025;387322.906115
732026;382069.404410
732027;387037.592785
732028;406168.743089
732029;416317.876594
732030;435639.500189
732031;420515.279764
732032;414903.171261
732033;436396.197746
732034;430694.176737
732035;447946.902181
732036;466772.589137
732037;502314.421173
732038;479632.243349
732039;440553.887277
732040;401314.250718
732041;508977.828419
732042;404204.399145
732043;226485.588647
732044;235682.640237
732045;252729.150865
732046;246805.892356
732047;275850.668865
732048;284162.398884
732049;341288.412695
732050;380356.226721
732051;430623.487417
732052;403939.259254
732053;401489.449044
732054;444442.421339
732055;413256.235269
732056;414911.814648
732057;358868.636036
732058;330681.220852
732059;340435.795337
732060;681979.260941
732061;670236.524463
732062;685129.522820
732063;668158.230714
732064;657699.456974
732065;635473.499159
732066;648000.533062
732067;691085.645757
732068;811044.396978
732069;774922.328734
732070;879083.905006
732071;923545.903519
732072;816097.980347
732073;1220925.746865
732074;1143346.874935
732075;567257.470763
732076;530868.393096
732077;559123.392261
732078;567920.842526
732079;450068.028590
732080;370648.926490
732081;386187.153232
732082;172345.870479
732083;223770.372435
732084;422044.532351
732085;366254.344513
732086;424288.201456
732087;407865.367703
732088;428022.028921
732089;445903.797235
732090;444762.329503
732091;446165.484415
732092;420463.523477
732093;393341.687538
732094;437923.846240
732095;437923.846240
732096;456990.921170
732097;532756.354818
732098;551211.546844
732099;456839.350236
732100;484097.989340
732101;411023.519272
732102;406233.940080
732103;441693.984545
732104;477673.628631
732105;247486.836273
732106;275828.702830
732107;208497.544110
732108;319169.079164
732109;358048.104292
732110;487627.458617
732111;444453.736291
732112;412946.218052
732113;420320.144055
732114;685091.692540
732115;701109.974082
732116;706607.126578
732117;727303.671806
732118;651873.438782
732119;670381.723279
732120;632375.966036
732121;675723.603861
732122;683501.700837
